id,account,account_screenname,account_location,account_followers,account_following,account_age_days,account_description,is_retweet,original_author,tweeted_on,count_retweeted,count_favorited,hashtags,tweet_text
1298401735707439105,August #RiseUP Mac,carrybeyond,,3588,3617,1816,Everyone is crying out for peace but none of them is crying out for justice - PeterTosh,1,@MsPacNWer,2020-08-25 23:27:51,1,0,"MAGA,MAGA2020,KAG2020,GOP,REPUBLICANS,RepublicansForBiden,MODERATES,INDEPENDENTS,DEMOCRATS,PROGRESSIVES", 🔥🔥🔥 #MAGA #MAGA2020 #KAG2020 #GOP #REPUBLICANS #RepublicansForBiden  #MODERATES #INDEPENDENTS #DEMOCRATS #PROGRESSIVES #LIBE…
1298401730988855298,Irene Paternostro,IrenePaternost1,"Howell, NJ",2609,3754,1028,,1,@mikandynothem,2020-08-25 23:27:50,1097,0,," “Make no mistake: Joe Biden and Kamala Harris want a cultural revolution. A fundamentally different America."" -Tim Scott…"
1298401726496735233,David R,TheRassss,"Plattsburgh, NY. 12901",732,1353,3497,LMSW-Carpenter/Framer. Clean/sober since 11/27/98. Adamant body builder and student of Integral philosophy/psychology. Nurturing wisdom/virtue in life,1,@BrassNucklez,2020-08-25 23:27:49,2,0,, .@JerryFalwellJr Gave ‘Personal Trainer’ Sweetheart Real Estate Deal (Not To Be Confused With Pool Boy Deal): https://t.c…
1298401721962684417,Mod 4 USA,Mod4USA,"Long Island, New York",46566,44100,3959,100% for #TRUMP #MAGA #CONSERVATIVE #PATRIOT #BuildTheWall #DrainTheSwamp My president makes me proud to be an American!,0,Mod4USA,2020-08-25 23:27:48,0,0,MAGA,@MyTrigger_1 @Daniel68141715 @DougLusch007 @SagLeoJC3 @Justsaytruthnow @NickCarpentry @WilliamMillen5 @ZadeSmith4 @Toddscrypto @Tplori1 @BruceChambers @camayusa1 @marlo451 @janninereid1 @RealMadDadMAGA @prila_ebberw @john_pav @infowarrior454 @2k7man88 @rdnkone @Nationalist4476 @Jhwrr Thank you for including me. Let’s #MAGA !!!!!! https://t.co/EyuVaYNzDO
1298401716853972997,Charlotte,creppswindyacr1,USA,728,863,1314,". I am blessed by Daddy God . I am happy, have a great family ! I enjoy my life and I have a purpose and a destiny. I am a born again Christian. Trump2020🇺🇸",1,@USA4TRUMP2016,2020-08-25 23:27:47,23,0,," @USA4TRUMP2016 
@masich_m 
@jcblount 
@Brixea
@kimszc1 
@Elle10258981
@DFBHarvard
@AngelWarrior321 
@EtheElephant1 
@Har…"
1298401710763802631,Immortan Trump 🌲,Immortantrump20,"North Carolina, USA",541,448,1422,"Can't wait to reach Valhalla... shiny and chrome...
| America First 🇺🇲 | Nationalist | Southerner by the grace of God | 
6'2",1,@honey____man,2020-08-25 23:27:45,2,0,MAGA, Just got a Russian keyboard so I can more easily communicate with my bosses in the Kremlin #MAGA
1298401709379682305,MenOnStrike🚫,MenOnStrike,Debtors prison #166595,1311,1167,2723,Child support & suicide have a direct correlation in men. Feminism cries for equality & cares nothing for this. Stop wage slavery & debtors prisons. #EndCS2020,1,@mikandynothem,2020-08-25 23:27:45,1188,0,," 💥BAM💥
""I've never been called a racial slur by a white person until I became a Trump supporter...
These white liberals d…"
1298401688789934081,CSM Master,csm_master,,40,72,1605,"#Minecraft - It is like no other game. Creativity, diversity, and personality. You make what you want, where you want, how you want. Join me for the Adventure",1,@EricMMatheny,2020-08-25 23:27:40,584,0,MAGA," What if a screaming crowd of #MAGA hat wearing Trump supporters stormed a restaurant and got in the faces of diners, bera…"
1298401681508454401,Nathan Thompson,truthprevials,,5677,5743,3448,"Username is intentionally misspelled. Psalm 23. God Bless America. America first. KAG.  IFBAP. Unfollow = unfollow, lists = block.",1,@SealeyGerald,2020-08-25 23:27:38,24,0,," ATTENTION MAGA PATRIOT'S
⭐️🇺🇸⭐️🇺🇸⭐️🇺🇸⭐️🇺🇸⭐️🇺🇸
                   🤜🏻💥🤛🏻
PLEASE FOLLOW AND RETWEET THIS GREAT MAGA

       …"
1298401678752985091,VOTE RED in-PERSON!,FalseFlagJoe1,"Unicoi, TN",3120,4138,864,"Back again..! 
( by God's Grace ✝💗...& pure luck! ✝🙏✝)
503/173rdAbn. 06-12':OEF  #2A #KAG2020 #BacktheBlue #codeofvets #CCOT #DeusVult ✝ Isaiah 6:8-13",1,@LouDobbs,2020-08-25 23:27:38,54,0,"MAGA,AmericaFirst,Dobbs", More Lou Dobbs Tonight starting in just a few minutes! 7PM/ET. #MAGA #AmericaFirst #Dobbs
1298401676785848321,Royal Corgi,CorgiRoyal,"New York, USA",486,786,851,"average human, wife, mom.",1,@thebling_vote,2020-08-25 23:27:37,2,0,"MAGA,SaveJulian,JulianAssange,FreeAssangeNOW"," Today is 8/25/2020 

#MAGA #SaveJulian 

#JulianAssange #FreeAssangeNOW 

Screen shot of my https://t.co/4nqEMvP3Cm stat…"
1298401672947998725,Donna Drumheller,drumheller_rae,The Beach,230,101,1034,,0,drumheller_rae,2020-08-25 23:27:36,0,0,"TRUMPLANDSLIDEWIN2020,TAKEBACKTHEHOUSE,OWNTHESENATE,MAGA","@TeamTrump #TRUMPLANDSLIDEWIN2020 #TAKEBACKTHEHOUSE #OWNTHESENATE 
#MAGA"
